Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount,Currency,Account,total,S.no,AvgAmount,DATE
03-02-2022 10:11,CUB - online payment,Food,,Brownie,50,Expense,,50,INR,50,50,1,50,19-02-2022
03-02-2022 10:11,CUB - online payment,Other,,To lended people,300,Expense,,300,INR,300,350,2,175,20-02-2022
03-01-2022 19:50,CUB - online payment,Food,,Dinner,78,Expense,,78,INR,78,428,3,142.6666667,21-02-2022
03-01-2022 18:56,CUB - online payment,Transportation,,Metro,30,Expense,,30,INR,30,458,4,114.5,22-02-2022
03-01-2022 18:22,CUB - online payment,Food,,Snacks,67,Expense,,67,INR,67,525,5,105,23-02-2022
03-01-2022 18:22,CUB - online payment,Other,,From vicky,100,Income,,100,INR,100,625,6,104.1666667,24-02-2022
03-01-2022 18:21,CUB - online payment,Other,,From dad,500,Income,,500,INR,500,1125,7,160.7142857,25-02-2022
2/28/2022 11:56,CUB - online payment,Food,,Pizza,339.15,Expense,,339.15,INR,339.15,1464.15,8,183.01875,26-02-2022
2/28/2022 11:45,CUB - online payment,Other,,From kumara,200,Income,,200,INR,200,1664.15,9,184.9055556,27-02-2022
2/27/2022 15:29,CUB - online payment,Food,,Lunch,243,Expense,,243,INR,243,1907.15,10,190.715,28-02-2022
2/26/2022 20:16,CUB - online payment,Food,,,25,Expense,,25,INR,25,1932.15,11,175.65,01-03-2022
2/26/2022 17:37,CUB - online payment,Other,,From dad,1500,Income,,1500,INR,1500,3432.15,12,286.0125,02-03-2022
2/26/2022 17:37,CUB - online payment,Other,,To karthi,100,Expense,,100,INR,100,3532.15,13,271.7038462,03-03-2022
2/26/2022 16:01,CUB - online payment,Social Life,,,1700,Expense,,1700,INR,1700,5232.15,14,373.725,04-03-2022
2/26/2022 14:07,CUB - online payment,Food,,Snacks,40,Expense,,40,INR,40,5272.15,15,351.4766667,05-03-2022
2/26/2022 1:39,CUB - online payment,Food,,Tea lights,84,Expense,,84,INR,84,5356.15,16,334.759375,06-03-2022
2/25/2022 12:08,CUB - online payment,Food,,,33,Expense,,33,INR,33,5389.15,17,317.0088235,07-03-2022
2/24/2022 22:32,CUB - online payment,Household,,,303,Expense,,303,INR,303,5692.15,18,316.2305556,08-03-2022
2/24/2022 22:21,CUB - online payment,Food,,Creamstone,289,Expense,,289,INR,289,5981.15,19,314.7973684,09-03-2022
2/24/2022 19:15,CUB - online payment,Food,,Tamen,324.7,Expense,,324.7,INR,324.7,6305.85,20,315.2925,10-03-2022
2/23/2022 17:35,CUB - online payment,Apparel,,Hoodie for gobi,399,Expense,,399,INR,399,6704.85,21,319.2785714,11-03-2022
2/23/2022 16:06,CUB - online payment,Food,,Eggs,83,Expense,,83,INR,83,6787.85,22,308.5386364,12-03-2022
2/23/2022 12:38,CUB - online payment,Apparel,,Earphone,399,Expense,,399,INR,399,7186.85,23,312.4717391,13-03-2022
